dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,10418.84,40.57,2.26,17.9,34.92,15.76,38.6,105.12,50.56143727943535,123.83702277831247,337.2473532242541
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,8953.64,35.48,1.82,2.1,11.38,4.76,45.88,108.17999999999999,9.929078014184398,95.70296203587819,225.65707133917394
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,4461.22,39.61,0.95,53.23,44.01,15.72,18.44,118.08,16.07197628054391,18.85287802883141,120.72385236683365
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,4999.7,51.01,1.48,52.28,88.58,27.0,28.52,133.01999999999998,21.12015018773467,22.309136420525654,104.05193992490611
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,4429.81,70.77,2.1,63.34,298.06,13.8,20.84,119.79,13.725880246667993,20.72806843047543,119.14660831509846
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,5655.45,65.26,1.36,39.02,54.46,19.72,27.36,81.45,33.05951383067896,45.86756077116513,136.54652137468568
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,5276.06,70.56,1.81,5.79,30.72,14.96,26.56,139.5,12.75579809004093,22.646657571623464,118.94611186903137
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45,6.52,57.92,113.31,23.022598870056495,204.51977401129943,400.1059322033898
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,8875.06,53.55,1.82,19.43,23.24,14.84,37.2,99.81,34.786685419596814,87.20112517580874,233.96624472573842
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,12418.84,100.14,3.93,8.51,28.19,4.4,51.72,121.67999999999999,16.516516516516518,194.14414414414415,456.7567567567568
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,4249.41,41.07,1.52,16.72,20.33,5.72,20.84,509.13,1.1810617166690756,4.303029051640478,105.12481674960253
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,11202.89,106.22,3.52,5.35,24.85,17.12,45.64,129.51,30.785829886711024,82.07156986153569,232.8897680273332
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83,7.12,12.48,11.790000000000001,22.596001269438272,39.60647413519517,37.41669311329737
